       ¦NTAP       %  ¦NTAP       %  ¦Srv        %  ¦ SUM¦
       ¦OUT      |Path¦IN       |Path¦IN&O     |Path¦Totl¦
Stor IP¦  21|  22|Used¦  21|  22|Used¦  21|  22|Used¦Used¦
 53.30 ¦   1|   0|  75|   3|   0|  75|   3|   0| 100|  83|
 53.31 ¦   1|   1|  37|   2|   1|  62|   2|   1| 100|  66|
 53.32 ¦   0|   3| 100|   1|   2| 100|   1|   2| 100| 100|
 53.33 ¦   2|   3|  75|   0|   3|  75|   0|   3| 100|  83|
 53.34 ¦   0|   1|  75|   3|   0|  75|   3|   0| 100|  83|
 53.35 ¦   0|   2|  75|   2|   1|  75|   2|   1| 100|  83|
 53.36 ¦   1|   2|  75|   1|   2|  75|   1|   2| 100|  83|
 53.37 ¦   3|   2|  75|   0|   3|  75|   0|   3| 100|  83|
 53.38 ¦   0|   2|  75|   3|   0|  75|   3|   0| 100|  83|
 53.39 ¦   0|   1|  75|   2|   1|  75|   2|   1| 100|  83|
 53.40 ¦   1|   0|  75|   1|   2|  75|   1|   2| 100|  83|
 53.41 ¦   1|   0|  75|   0|   3|  75|   0|   3| 100|  83|
 53.42 ¦   1|   0|  75|   3|   0|  75|   3|   0| 100|  83|
 53.43 ¦   0|   3| 100|   2|   1| 100|   2|   1| 100| 100|
 53.44 ¦   0|   2|  75|   1|   2|  75|   1|   2| 100|  83|
 53.45 ¦   0|   1|  75|   0|   3|  75|   0|   3| 100|  83|
 53.46 ¦   3|   3|  37|   3|   0|  62|   3|   0| 100|  66|
 53.47 ¦   2|   0|  75|   2|   1|  75|   2|   1| 100|  83|
 53.48 ¦   1|   0|  75|   1|   2|  75|   1|   2| 100|  83|
 53.49 ¦   1|   2| 100|   0|   3| 100|   0|   3| 100| 100|
 53.50 ¦   3|   2|  75|   3|   0|  75|   3|   0| 100|  83|
 53.51 ¦   2|   0|  75|   2|   1|  75|   2|   1| 100|  83|
 53.52 ¦   2|   3|  75|   1|   2|  75|   1|   2| 100|  83|
 53.53 ¦   2|   2|  50|   0|   3|  75|   0|   3| 100|  75|
 53.54 ¦   0|   3|  75|   3|   0|  75|   3|   0| 100|  83|
 53.55 ¦   2|   1|  75|   2|   1|  75|   2|   1| 100|  83|
 53.56 ¦   0|   2|  75|   1|   2|  75|   1|   2| 100|  83|
 53.57 ¦   1|   1|  50|   0|   3|  75|   0|   3| 100|  75|
 53.58 ¦   2|   1| 100|   3|   0| 100|   3|   0| 100| 100|
 53.59 ¦   3|   3|  50|   2|   1|  75|   2|   1| 100|  75|
 53.60 ¦   2|   3|  75|   1|   2|  75|   1|   2| 100|  83|
 53.61 ¦   1|   0|  75|   0|   3|  75|   0|   3| 100|  83|
 53.62 ¦   1|   1|  50|   3|   0|  75|   3|   0| 100|  75|
 53.63 ¦   1|   0|  75|   2|   1|  75|   2|   1| 100|  83|
 53.64 ¦   3|   3|  50|   1|   2|  75|   1|   2| 100|  75|
 53.65 ¦   0|   0|  37|   0|   3|  62|   0|   3| 100|  66|
 53.66 ¦   0|   0|  37|   3|   0|  62|   3|   0| 100|  66|
 53.67 ¦   3|   3|  50|   2|   1|  75|   2|   1| 100|  75|
 53.68 ¦   3|   3|  50|   1|   2|  75|   1|   2| 100|  75|
 53.69 ¦   1|   0|  75|   0|   3|  75|   0|   3| 100|  83|
 53.70 ¦   1|   1|  50|   3|   0|  75|   3|   0| 100|  75|
 53.71 ¦   0|   3| 100|   2|   1| 100|   2|   1| 100| 100|
 53.72 ¦   3|   0| 100|   1|   2| 100|   1|   2| 100| 100|
 53.73 ¦   2|   3|  75|   0|   3|  75|   0|   3| 100|  83|
 53.74 ¦   1|   2| 100|   3|   0| 100|   3|   0| 100| 100|
 53.75 ¦   1|   0|  75|   2|   1|  75|   2|   1| 100|  83|
 53.76 ¦   2|   2|  37|   1|   2|  62|   1|   2| 100|  66|
 53.77 ¦   1|   1|  50|   0|   3|  75|   0|   3| 100|  75|
 53.78 ¦   0|   2|  75|   3|   0|  75|   3|   0| 100|  83|
 53.79 ¦   0|   0|  50|   2|   1|  75|   2|   1| 100|  75|
